iter	Passed	Remaining
637	856	486
638	857	484
639	858	483
640	859	481
641	860	480
642	861	478
643	862	477
644	864	475
645	865	474
646	866	472
647	867	471
648	868	469
649	869	468
650	870	466
651	871	465
652	872	463
653	873	462
654	874	460
655	875	459
656	876	457
657	877	456
658	878	454
659	879	453
660	880	451
661	881	450
662	882	448
663	883	447
664	885	445
665	886	444
666	887	442
667	888	441
668	889	440
669	890	438
670	891	437
671	892	435
672	893	434
673	894	432
674	895	431
675	896	429
676	897	428
677	898	426
678	899	425
679	900	423
680	901	422
681	902	420
682	903	419
683	904	418
684	905	416
685	906	415
686	907	413
687	908	412
688	910	410
689	911	409
690	912	407
691	913	406
692	914	405
693	915	403
694	916	402
695	917	400
696	918	399
697	919	397
698	920	396
699	921	394
700	922	393
701	923	392
702	924	390
703	925	389
704	926	387
705	927	386
706	928	384
707	929	383
708	930	381
709	931	380
710	932	379
711	933	377
712	934	376
713	935	374
714	936	373
715	937	371
716	938	370
717	939	369
718	941	367
719	942	366
720	943	364
721	944	363
722	945	362
723	946	360
724	947	359
725	948	357
726	949	356
727	950	355
728	951	353
729	952	352
730	953	350
731	954	349
732	955	348
733	956	346
734	957	345
735	958	343
736	959	342
737	960	341
738	961	339
739	962	338
740	963	336
741	964	335
742	965	333
743	966	332
744	967	331
745	968	329
746	969	328
747	971	327
748	972	325
749	973	324
750	974	323
751	975	321
752	976	320
753	977	318
754	978	317
755	979	316
756	980	314
757	981	313
758	982	312
759	983	310
760	984	309
761	985	307
762	986	306
763	987	305
764	989	303
765	990	302
766	991	301
767	992	299
768	993	298
769	994	296
770	995	295
771	996	294
772	997	292
773	998	291
774	999	290
775	1000	288
776	1001	287
777	1002	286
778	1003	284
779	1004	283
780	1005	281
781	1006	280
782	1007	279
783	1008	277
784	1009	276
785	1011	275
786	1012	273
787	1013	272
788	1014	271
789	1016	270
790	1017	268
791	1019	267
792	1020	266
793	1021	265
794	1022	263
795	1024	262
796	1025	261
797	1027	259
798	1028	258
799	1029	257
800	1030	255
801	1031	254
802	1032	253
803	1034	252
804	1035	250
805	1036	249
806	1038	248
807	1039	247
808	1040	245
809	1041	244
810	1043	243
811	1044	241
812	1045	240
813	1046	239
814	1047	237
815	1049	236
816	1050	235
817	1051	233
818	1052	232
819	1053	231
820	1055	230
821	1056	228
822	1057	227
823	1058	226
824	1059	224
825	1061	223
826	1062	222
827	1063	220
828	1064	219
829	1065	218
830	1067	217
831	1068	215
832	1070	214
833	1071	213
834	1072	212
835	1074	210
836	1075	209
837	1076	208
838	1077	206
839	1078	205
840	1079	204
841	1081	202
842	1082	201
843	1083	200
844	1084	199
845	1086	197
846	1087	196
847	1088	195
848	1089	193
849	1091	192
850	1092	191
851	1093	189
852	1094	188
853	1095	187
854	1097	186
855	1098	184
856	1099	183
857	1101	182
858	1102	180
859	1103	179
860	1104	178
861	1106	177
862	1107	175
863	1108	174
864	1109	173
865	1110	171
866	1111	170
867	1113	169
868	1114	167
869	1115	166
870	1116	165
871	1117	164
872	1118	162
873	1119	161
874	1121	160
875	1122	158
876	1123	157
877	1124	156
878	1125	154
879	1126	153
880	1127	152
881	1128	150
882	1129	149
883	1130	148
884	1131	147
885	1132	145
886	1134	144
887	1135	143
888	1136	141
889	1137	140
890	1138	139
891	1139	137
892	1140	136
893	1141	135
894	1142	134
895	1143	132
896	1144	131
897	1146	130
898	1147	128
899	1148	127
900	1149	126
901	1150	125
902	1151	123
903	1153	122
904	1154	121
905	1156	119
906	1157	118
907	1158	117
908	1160	116
909	1161	114
910	1162	113
911	1163	112
912	1165	111
913	1166	109
914	1167	108
915	1168	107
916	1169	105
917	1170	104
918	1171	103
919	1172	101
920	1173	100
921	1174	99
922	1175	98
923	1176	96
924	1177	95
925	1179	94
926	1180	92
927	1181	91
928	1182	90
929	1183	89
930	1184	87
931	1185	86
932	1186	85
933	1187	83
934	1188	82
935	1189	81
936	1190	80
937	1191	78
938	1192	77
939	1193	76
940	1194	74
941	1195	73
942	1196	72
943	1197	71
944	1198	69
945	1200	68
946	1201	67
947	1202	65
948	1203	64
949	1204	63
950	1205	62
951	1206	60
952	1207	59
953	1208	58
954	1210	57
955	1211	55
956	1212	54
957	1213	53
958	1214	51
959	1215	50
960	1216	49
961	1217	48
962	1218	46
963	1219	45
964	1220	44
965	1221	42
966	1222	41
967	1223	40
968	1224	39
969	1225	37
970	1226	36
971	1227	35
972	1228	34
973	1229	32
974	1230	31
975	1231	30
976	1232	29
977	1233	27
978	1235	26
979	1236	25
980	1237	23
981	1238	22
982	1239	21
983	1240	20
984	1241	18
985	1242	17
986	1243	16
987	1244	15
988	1245	13
989	1246	12
990	1247	11
991	1248	10
992	1249	8
993	1250	7
994	1251	6
995	1252	5
996	1253	3
997	1255	2
998	1256	1
999	1257	0
